"Price";"Date"
"4.7868 ";2009-02-18
"4.8326 ";2009-02-17
"4.8421 ";2009-02-16
"4.6663 ";2009-02-13
"4.6462 ";2009-02-12
"4.5993 ";2009-02-11
"4.5659 ";2009-02-10
"4.4194 ";2009-02-09
"4.5270 ";2009-02-06
"4.6112 ";2009-02-05
"4.6659 ";2009-02-04
"4.6489 ";2009-02-03
"4.4855 ";2009-02-02
"4.4792 ";2009-01-30
"4.3980 ";2009-01-29
"4.3561 ";2009-01-28
"4.4318 ";2009-01-27
"4.4136 ";2009-01-26
"4.4717 ";2009-01-23
"4.3708 ";2009-01-22
"4.3180 ";2009-01-21
"4.3897 ";2009-01-20
"4.3477 ";2009-01-19
"4.3198 ";2009-01-16
"4.1947 ";2009-01-15
"4.1774 ";2009-01-14
"4.1477 ";2009-01-13
"4.1647 ";2009-01-12
"4.0174 ";2009-01-09
"4.0445 ";2009-01-08
"4.0240 ";2009-01-07
"3.9395 ";2009-01-06
"4.1026 ";2009-01-05
"4.1998 ";2009-01-02
"4.1505 ";2009-01-01
"4.1134 ";2008-12-31
"4.1932 ";2008-12-30
"4.1351 ";2008-12-29
"4.0894 ";2008-12-26
"4.1180 ";2008-12-25
"4.1275 ";2008-12-24
"4.0904 ";2008-12-23
"4.1381 ";2008-12-22
"4.1455 ";2008-12-19
"4.1175 ";2008-12-18
"4.1421 ";2008-12-17
"4.0697 ";2008-12-16
"3.9803 ";2008-12-15
"3.9814 ";2008-12-12
"3.8905 ";2008-12-11
"3.9446 ";2008-12-10
"3.9275 ";2008-12-09
"3.8798 ";2008-12-08
"3.8769 ";2008-12-05
"3.8714 ";2008-12-04
"3.8577 ";2008-12-03
"3.8480 ";2008-12-02
"3.8125 ";2008-12-01
"3.8095 ";2008-11-28
"3.7580 ";2008-11-27
"3.7701 ";2008-11-26
"3.7870 ";2008-11-25
"3.8572 ";2008-11-24
"3.8655 ";2008-11-21
"3.8357 ";2008-11-20
"3.8131 ";2008-11-19
"3.8180 ";2008-11-18
"3.7632 ";2008-11-17
"3.6661 ";2008-11-14
"3.6779 ";2008-11-13
"3.7595 ";2008-11-12
"3.7776 ";2008-11-11
"3.7475 ";2008-11-10
"3.7028 ";2008-11-07
"3.6362 ";2008-11-06
"3.5233 ";2008-11-05
"3.5108 ";2008-11-04
"3.5175 ";2008-11-03
"3.4840 ";2008-10-31
"3.6048 ";2008-10-30
"3.5462 ";2008-10-29
"3.6675 ";2008-10-28
"3.8473 ";2008-10-27
"3.8108 ";2008-10-24
"3.8751 ";2008-10-23
"3.7975 ";2008-10-22
"3.6823 ";2008-10-21
"3.5701 ";2008-10-20
"3.5521 ";2008-10-17
"3.5644 ";2008-10-16
"3.6100 ";2008-10-15
"3.4729 ";2008-10-14
"3.5463 ";2008-10-13
"3.5777 ";2008-10-10
"3.6101 ";2008-10-09
"3.4605 ";2008-10-08
"3.4324 ";2008-10-07
"3.4695 ";2008-10-06
"3.3997 ";2008-10-03
"3.4265 ";2008-10-02
"3.3946 ";2008-10-01
"3.3970 ";2008-09-30
"3.3982 ";2008-09-29
"3.3613 ";2008-09-26
"3.3327 ";2008-09-25
"3.3318 ";2008-09-24
"3.3050 ";2008-09-23
"3.3032 ";2008-09-22
"3.2873 ";2008-09-19
"3.3221 ";2008-09-18
"3.3729 ";2008-09-17
